autor(s),title,kwd1,kwd2,kwd3,kwd4,kwd5,kwd6,kwd7,kwd8,kwd9
"Khaddaj S, Horgan G",The Evaluation of Software Quality Factors in Very Large Information Systems,information systems,software metrics,software quality,very large information systems,quality measurement,,,,
"Ramana B V, Narasimha G",SOFTWARE METRIC TRENDS AND EVOLUTION,information systems,software metrics,software quality,software evolution,agile process,,,,
"Arsovski Z, Arsovski S",THE QUALITY METRICS OF INFORMATION SYSTEMS,information systems,software metrics,software quality,,,,,,
Desouze K C,Creating a Balanced Portfolio of Information Technology Metrics,information systems,software metrics,government information systems,,,,,,
Duraivelu K,Quality metrics for information systems,information systems,software metrics,software quality,,,,,,
"Scudder R A, Kucic A R",Productivity measures for information svstems,information systems,software metrics,software quality,productivity,information systems effectivness,,,,
"Zhang X, Stafford T F, Murad A, Risher A, Simmons J",HOW TO MEASURE IT EFFECTIVENESS: THE CIO’S PERSPECTIVE,inormation technology,effectivness,cio,,,,,,
perforce.com,Which Software Quality Metrics Matter?,information systems,software metrics,software quality,,,,,,
"Maris M, Boekhorst R",Exploiting physical constraints: heap formation through behavioral error in a group of robots,robotics,collective,emergence,didabots,,,,,
MOCIALOV B,Cooperation via Indirect Communication,robotics,evolutionary robotics,robocup,neat,guesture recognition,nao,,,
"Duarte M, Oliveira S, Christensen A L",Hierarchical Evolution of Robotic Controllersfor Complex Tasks,robotics,evolutionary robotics,neural networks,simulation,real-robot,robot behaviors,,,
"Zaharias P, Gatzoulis C, Chrysanthou Y",Exploring user experience while playing educational games: focus on temporality and attractiveness,informatics education,computer games,learning,user experience,,,,,
REHMAN A U,TEAMWORK PROCESS IN THE GOVERNMENT SCHOOL IN PAKISTAN,education research,teamwork,soft skills,pakistan,,,,,
"Duarte M, Oliveira S, Christensen A L",Evolution of Hybrid Robotic Controllers for Complex Tasks,robotics,evolutionary robotics,neural networks,simulation,real-robot,robot behaviors,,,
"Ibrahim A, Vela F L G, Rodriguez P P, Sanches J L G, Zea N P",Playability Guidelines for Educational Video Games,informatics education,computer games,playability,player experience,,,,,
Luerssen M H,Experimental Investigations into Graph Grammar Evolution,evolutionary computation,multi-objective evolution,graphs,grammar,,,,,
"Hutabarat W, Parks G T, Jarrett J P, Dawes W N, Clarkson P J",Aerodynamic Topology Optimisation Using an Implicit Representation and a Multiobjective Genetic Algorithm,evolutionary computation,evolutionary design,multi-objective evolution,,,,,,
"Mansilla E B, Llor X, Traus I",Multiobjective Learning Classiﬁer Systems,evolutionary computation,learning classifier system,multi-objective evolution,,,,,,
Studley M,Learning Classifier Systems for Multi-objective Robot Control,evolutionary computation,learning classifier system,multi-objective evolution,evolutionary robotics,robotics,,,,
"Mwaura J, Keedwell E",Evolving robot sub-behaviour modules using Gene Expression Programming,evolutionary robotics,robot behaviors,subsumption architecture,gene expression programming,layered learning,,,,
"Nelson A L, Barlow G J, Doitsidis L",Fitness functions in evolutionary robotics: A survey and analysis,evolutionary robotics,fitness functions,robotics,evolutionary algorithms,,,,,
"Selvatici A H P, Costa A H R",A Hybrid Adaptive Architecture for Mobile Robots Based on Reactive Behaviours,robotics,reinforcement learning,robot behaviors,reactive behaviors,,,,,
"Patil M, Abukhalil T, Sobh T","Hardware Architecture Review of Swarm Robotics System:Self-Reconfigurability, Self-Reassembly, and Self-Replication",robotics,reconfigurable robots,modular robots,collective,,,,,
de Greeff J ,Evolving Communication in Evolutionary Robotics,evolutionary robotics,robotics,robot communication,,,,,,
Becker K,"What’s the difference between gamification, serious games, educational games, and game-based learning?",informatics education,computer games,serious games,educational games,game-based learning,,,,
Marone V,"I play, therefore I create: Constructionist video games for empowered communities of learners",informatics education,computer games,constructionism,,,,,,
"Nardi R, Togelius J, Holland O E, Lucas S M",Evolution of neural networks for helicopter control: Why modularity matters,evolutionary robotics,neural networks,simulation,pid,incremental evolution,,,,
"Haselberger J, Pelzer† M, Schick B, Muller S",JUPITER – ROS based Vehicle Platform for Autonomous Driving Research,autonomous vehicles,intelligent transportation systems,ros,autonomous driving,,,,,
"Hess W, Kohler D, Rapp H, Andor D",Real-time loop closure in 2D LIDAR SLAM,slam,robotics,mapping,loop closing,,,,,
"Labbé M, Michaud F",Online global loop closure detection for large-scale multi-session graph-based SLAM,slam,robotics,mapping,loop closing,multi-session,,,,
"Mur-Artal R, Tardós J D",Fast relocalisation and loop closing in keyframe-based SLAM,slam,robotics,mapping,visual-slam,loop closing,relocalisation,place recognition,,
"Mur-Artal R, Tardós J D","ORB-SLAM2: An Open-Source SLAM System for Monocular, Stereo, and RGB-D Cameras",slam,robotics,mapping,visual-slam,loop closing,relocalisation,,,
"Labbé M, Michaud F",RTAB-Map as an open-source lidar and visual simultaneous localization and mapping library for large-scale and long-term online operation,slam,robotics,mapping,loop closing,visual-slam,lidar,,,
"Behley J, Stachniss C",Efficient Surfel-Based SLAM using 3D Laser Range Data in Urban Environments,slam,robotics,mapping,loop closing,3D,,,,
"Campos C, Elvira R, Rodríguez J J G, Montiel J M M, Tardós J D","ORB-SLAM3: An Accurate Open-Source Library for Visual, Visual–Inertial, and Multimap SLAM",slam,robotics,mapping,loop closing,relocalisation,place recognition,,,
"Qin T, Li P, Shen S",VINS-Mono: A Robust and Versatile Monocular Visual-Inertial State Estimator,robotics,localisation,imu,camera,,,,,
"Yu C, Liu Z, Liu X J, Xie F, Yang Y, Wei Q, Fei Q",DS-SLAM: A Semantic Visual SLAM towards Dynamic Environments,robotics,slam,visual-slam,semantic segmentation,loop closing,,,,
"Whelan T, Salas-Moreno R F, Glocker B, Davison A J, Leutenegger S",ElasticFusion: Real-time dense SLAM and light source estimation,robotics,slam,visual-slam,3D,,,,,
"Saeedi S, Trentini M, Seto M, Li H",Multiple-Robot Simultaneous Localization and Mapping: A Review,robotics,slam,collective,survey,,,,,
"Cadena C, Carlone L, Carrillo H, Latif Y, Scaramuzza D, Neira J, Reid I, Leonard JJ","Past, Present, and Future of Simultaneous Localization and Mapping: Toward the Robust-Perception Age",robotics,slam,survey,,,,,,
